conta_contabil;orgao;uniorcam;saldo_anterior_debito;saldo_anterior_credito;movimentacao_debito;movimentacao_credito;saldo_atual_debito;saldo_atual_credito;especificacao;tipo_nivel;numero_nivel;obsoleto1;escrituracao;natureza_informacao;indicador_superavit_financeiro;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
1.2.3.8.0.00.00.00.00.00.00.000;01;0101;0,00;2.493,31;0,00;736,08;0,00;3.229,39;"(-) DEPRECIACAO, EXAUSTAO E AMORTIZACAO ACUMULADAS";S;04;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.00.00.00.00.00.00.000;01;0101;0,00;2.493,31;0,00;736,08;0,00;3.229,39;"(-) DEPRECIACAO, EXAUSTAO E AMORTIZACAO ACUMULADAS - CONSOLIDACAO";S;05;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.00.00.00.00.00.000;01;0101;0,00;2.493,31;0,00;736,08;0,00;3.229,39;"(-) DEPRECIACAO ACUMULADA – BENS MOVEIS";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.01.00.00.00.00.000;01;0101;0,00;182,34;0,00;25,90;0,00;208,24;"(-) DEPRECIACAO ACUMULADA DE MAQUINAS, APARELHOS, EQUIPAMENTOS E FERRAMENTAS";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.01.40.00.00.00.000;01;0101;0,00;182,34;0,00;25,90;0,00;208,24;"(-) DEPRECIACAO - PECAS NAO INCORPORAVEIS A IMOVEIS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.02.00.00.00.00.000;01;0101;0,00;236,47;0,00;80,55;0,00;317,02;"(-) DEPRECIACAO ACUMULADA DE BENS DE INFORMATICA";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.02.01.00.00.00.000;01;0101;0,00;236,47;0,00;80,55;0,00;317,02;"(-) DEPRECIACAO - EQUIPAMENTOS DE PROCESSAMENTO DE DADOS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.03.00.00.00.00.000;01;0101;0,00;1.149,83;0,00;308,45;0,00;1.458,28;"(-) DEPRECIACAO ACUMULADA DE MOVEIS E UTENSILIOS";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.03.01.00.00.00.000;01;0101;0,00;193,53;0,00;38,30;0,00;231,83;"(-) DEPRECIACAO - APARELHOS E UTENSILIOS DOMESTICOS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.03.03.00.00.00.000;01;0101;0,00;956,30;0,00;270,15;0,00;1.226,45;"(-) DEPRECIACAO - MOBILIARIO EM GERAL";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.04.00.00.00.00.000;01;0101;0,00;924,67;0,00;321,18;0,00;1.245,85;"(-) DEPRECIACAO ACUMULADA DE MATERIAIS CULTURAIS, EDUCACIONAIS E DE COMUNICACAO";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.04.01.00.00.00.000;01;0101;0,00;197,12;0,00;70,40;0,00;267,52;"(-) DEPRECIACAO - BANDEIRAS, FLAMULAS E INSIGNIAS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.8.1.01.04.05.00.00.00.000;01;0101;0,00;727,55;0,00;250,78;0,00;978,33;"(-) DEPRECIACAO - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.0.00.00.00.00.00.00.000;01;0101;0,00;5.658,83;0,00;0,00;0,00;5.658,83;"(-) REDUCAO AO VALOR RECUPERAVEL DE IMOBILIZADO";S;04;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.00.00.00.00.00.00.000;01;0101;0,00;5.658,83;0,00;0,00;0,00;5.658,83;"(-) REDUCAO AO VALOR RECUPERAVEL DE IMOBILIZADO - CONSOLIDACAO";S;05;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.00.00.00.00.00.000;01;0101;0,00;5.658,83;0,00;0,00;0,00;5.658,83;"(-) REDUCAO AO VALOR RECUPERAVEL DE IMOBILIZADO - BENS MOVEIS";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.01.00.00.00.00.000;01;0101;0,00;1.100,12;0,00;0,00;0,00;1.100,12;"(-) REDUCAO - MAQUINAS, APARELHOS, EQUIPAMENTOS E FERRAMENTAS";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.01.40.00.00.00.000;01;0101;0,00;1.100,12;0,00;0,00;0,00;1.100,12;"(-) REDUCAO - PECAS NAO INCORPORAVEIS A IMOVEIS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.02.00.00.00.00.000;01;0101;0,00;629,25;0,00;0,00;0,00;629,25;"(-) REDUCAO - BENS DE INFORMATICA";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.02.01.00.00.00.000;01;0101;0,00;629,25;0,00;0,00;0,00;629,25;"(-) REDUCAO - EQUIPAMENTOS DE PROCESSAMENTO DE DADOS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.03.00.00.00.00.000;01;0101;0,00;1.362,01;0,00;0,00;0,00;1.362,01;"(-) REDUCAO - MOVEIS E UTENSILIOS";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.03.01.00.00.00.000;01;0101;0,00;224,22;0,00;0,00;0,00;224,22;"(-) REDUCAO - APARELHOS E UTENSILIOS DOMESTICOS";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.03.03.00.00.00.000;01;0101;0,00;1.137,79;0,00;0,00;0,00;1.137,79;"(-) REDUCAO - MOBILIARIO EM GERAL";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.04.00.00.00.00.000;01;0101;0,00;2.567,45;0,00;0,00;0,00;2.567,45;"(-) REDUCAO - MATERIAIS CULTURAIS, EDUCACIONAIS E DE COMUNICACAO";S;07;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.9.1.01.04.05.00.00.00.000;01;0101;0,00;2.567,45;0,00;0,00;0,00;2.567,45;"(-) REDUCAO - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";A;08;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.0.0.0.0.00.00.00.00.00.00.000;01;0101;0,00;27.669,90;751.227,00;768.592,73;0,00;45.035,63;"PASSIVO E PATRIMONIO LIQUIDO";S;01;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.0.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;158.796,98;176.162,71;0,00;17.365,73;"PASSIVO CIRCULANTE";S;02;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;118.239,12;131.129,76;0,00;12.890,64;"OBRIGACOES TRABALHISTAS, PREVIDENCIARIAS E ASSISTENCIAIS A PAGAR A CURTO PRAZO";S;03;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;101.263,72;109.864,42;0,00;8.600,70;"PESSOAL A PAGAR";S;04;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.00.00.00.00.00.00.000;01;0101;0,00;0,00;101.263,72;109.864,42;0,00;8.600,70;"PESSOAL A PAGAR - CONSOLIDACAO";S;05;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.01.00.00.00.00.00.000;01;0101;0,00;0,00;101.263,72;109.864,42;0,00;8.600,70;"PESSOAL A PAGAR";S;06;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.01.01.00.00.00.00.000;01;0101;0,00;0,00;101.263,72;101.263,72;0,00;0,00;"SALARIOS, REMUNERACOES E BENEFICIOS";S;07;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.01.01.02.00.00.00.000;01;0101;0,00;0,00;101.263,72;101.263,72;0,00;0,00;"SALARIOS, REMUNERACOES E BENEFICIOS - AGENTES POLITICOS";A;08;F;S;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.01.02.00.00.00.00.000;01;0101;0,00;0,00;0,00;8.600,70;0,00;8.600,70;"DECIMO TERCEIRO SALARIO";S;07;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.1.1.01.02.02.00.00.00.000;01;0101;0,00;0,00;0,00;8.600,70;0,00;8.600,70;"DECIMO TERCEIRO SALARIO";A;08;F;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.4.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;16.975,40;21.265,34;0,00;4.289,94;"ENCARGOS SOCIAIS A PAGAR";S;04;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.4.3.00.00.00.00.00.00.000;01;0101;0,00;0,00;16.975,40;21.265,34;0,00;4.289,94;"ENCARGOS SOCIAIS A PAGAR-INTER OFSS - UNIAO";S;05;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.4.3.01.00.00.00.00.00.000;01;0101;0,00;0,00;16.975,40;21.265,34;0,00;4.289,94;"CONTRIBUICOES AO RGPS A PAGAR";S;06;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.1.4.3.01.01.00.00.00.00.000;01;0101;0,00;0,00;16.975,40;21.265,34;0,00;4.289,94;"CONTRIBUICOES AO RGPS SOBRE SALARIOS E REMUNERACOES";A;07;F;S;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"FORNECEDORES E CONTAS A PAGAR A CURTO PRAZO";S;03;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.1.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"FORNECEDORES E CONTAS A PAGAR NACIONAIS A CURTO PRAZO";S;04;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.1.1.00.00.00.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"FORNECEDORES E CONTAS A PAGAR NACIONAIS A CURTO PRAZO - CONSOLIDACAO";S;05;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.1.1.01.00.00.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"FORNECEDORES NACIONAIS";S;06;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.1.1.01.01.00.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"FORNECEDORES NAO FINANCIADOS A PAGAR";S;07;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.3.1.1.01.01.01.00.00.00.000;01;0101;0,00;0,00;31.895,99;34.685,99;0,00;2.790,00;"CREDORES DIVERSOS";A;08;F;S;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.8.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;8.661,87;10.346,96;0,00;1.685,09;"DEMAIS OBRIGACOES A CURTO PRAZO";S;03;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
2.1.8.8.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;8.661,87;10.346,96;0,00;1.685,09;"VALORES RESTITUIVEIS";S;04;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
