conta_contabil;orgao;uniorcam;saldo_anterior_debito;saldo_anterior_credito;movimentacao_debito;movimentacao_credito;saldo_atual_debito;saldo_atual_credito;especificacao;tipo_nivel;numero_nivel;obsoleto1;escrituracao;natureza_informacao;indicador_superavit_financeiro;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
1.1.1.1.1.06.03.01.00.00.00.000;10;1001;0,00;0,00;576.219,29;576.219,29;0,00;0,00;"Banrisul - RPPS mov 04.013.779.0-9(0050)";A;08;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.02.00.00.00.000;10;1001;0,00;0,00;51.932,03;48.597,46;3.334,57;0,00;"BANRISUL - RPPS  Ret Folha";A;08;F;S;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.03.00.00.00.000;10;1001;0,00;0,00;1.546,00;1.546,00;0,00;0,00;"Banrisul - Consignado RPPS";A;08;F;S;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.04.00.00.00.000;10;1001;0,00;0,00;70.000,00;70.000,00;0,00;0,00;"B.Brasil - RPPS  mov. 10.428-0(0050)";A;08;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.05.00.00.00.000;10;1001;0,00;0,00;118.524,65;118.524,65;0,00;0,00;"CEF - RPPS C/Mov (279-0)";A;08;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.06.00.00.00.000;10;1001;0,00;0,00;213.903,26;213.903,26;0,00;0,00;"Sicredi - RPPS Folha pagamento 13.422-1 (0050)";A;08;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.07.00.00.00.000;10;1001;0,00;0,00;17.070,76;17.070,76;0,00;0,00;"Sicredi - Consignado RPPS 29.111-0";A;08;F;S;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.04.00.00.00.00.000;02;0201;0,00;0,00;44.337,90;43.682,51;655,39;0,00;"BANCO CONTA MOVIMENTO - TAXA DE ADMINISTRACAO";S;07;F;N;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.04.01.00.00.00.000;10;1001;0,00;0,00;44.337,90;43.682,51;655,39;0,00;"Banrisul - Tx de Administracao RPPS";A;08;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.00.00.00.00.00.000;02;0201;1.922.783,32;0,00;18.075.984,30;18.598.516,90;1.400.250,72;0,00;"BANCO CONTA MOVIMENTO - DEMAIS CONTAS";S;06;F;N;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.00.00.00.00.000;02;0201;553.352,89;0,00;7.132.609,34;7.238.527,35;447.434,88;0,00;"BANCO DO BRASIL";S;07;F;N;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.01.00.00.00.000;03;0301;0,00;0,00;4.993.602,81;4.993.602,81;0,00;0,00;"B.Brasil FPM 6.400-9";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.02.00.00.00.000;03;0301;290,01;0,00;58,70;18,25;330,46;0,00;"B.Brasil ITR 6.402-5";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.04.00.00.00.000;03;0301;0,00;0,00;91.815,56;86.818,43;4.997,13;0,00;"B.Brasil FEP 6.437-8";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.06.00.00.00.000;04;0402;68.362,59;0,00;959.958,29;1.011.054,70;17.266,18;0,00;"B.Brasil -FUNDEB 8.780-7";A;08;F;S;P;F;0031;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.07.00.00.00.000;03;0301;6.630,97;0,00;23.644,65;24.436,04;5.839,58;0,00;"B.Brasil - LC 176/2020 - Recomp. L.Kandir 283142-2";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.08.00.00.00.000;07;0702;0,00;0,00;6.615,17;6.615,17;0,00;0,00;"B.Brasil CIDE 7.913-8";A;08;F;S;P;F;1016;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.09.00.00.00.000;04;0401;141.264,77;0,00;70.469,26;39.968,90;171.765,13;0,00;"B.Brasil Salario Educ 7.793-3(1015)";A;08;F;S;P;F;1015;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.13.00.00.00.000;05;0501;119.198,93;0,00;697.941,11;764.117,14;53.022,90;0,00;"B.Brasil FMS 15% 7.270-2(0040)";A;08;F;S;P;F;0040;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.15.00.00.00.000;02;0201;1.239,90;0,00;43.726,55;44.072,48;893,97;0,00;"B.Brasil Simp. Nacional 8.862-5";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.24.00.00.00.000;08;0802;0,00;0,00;4.317,23;4.307,31;9,92;0,00;"B.Brasil - IGD-PAB 13.204-7 (1010)";A;08;F;S;P;F;1010;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.25.00.00.00.000;08;0802;1.438,01;0,00;11,18;1.449,19;0,00;0,00;"B.Brasil - FMA IGD 12.112-6(1010)";A;08;F;S;P;F;1010;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.26.00.00.00.000;08;0802;3.193,40;0,00;16.393,62;12.294,13;7.292,89;0,00;"B.Brasil - FMA PAIF 12.118-5";A;08;F;S;P;F;1010;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.33.00.00.00.000;08;0802;1.740,35;0,00;2.882,70;4.280,00;343,05;0,00;"B.Brasil - FMA SIGD-SUAS 12.113-4(1013)";A;08;F;S;P;F;1013;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.41.00.00.00.000;02;0201;12.613,98;0,00;14.306,77;9.945,94;16.974,81;0,00;"B.BRASIL- ALIMENTACAO ESCOLAR";S;08;F;N;P;F;1013;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.41.01.00.00.000;04;0402;112,91;0,00;137,15;37,80;212,26;0,00;"B.BRASIL - ALIMENT.AEE(1047)";A;09;F;S;P;F;1047;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.41.02.00.00.000;04;0402;11.015,30;0,00;7.802,04;5.787,83;13.029,51;0,00;"B.BRASIL - ALIMENT. CRECHE(1047)";A;09;F;S;P;F;1047;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.41.03.00.00.000;04;0402;893,83;0,00;3.949,51;2.936,65;1.906,69;0,00;"B.BRASIL - ALIMENT. FUNDAM.(1047)";A;09;F;S;P;F;1047;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.41.04.00.00.000;04;0402;591,94;0,00;2.418,07;1.183,66;1.826,35;0,00;"B.BRASIL - ALIMENT.PRE ESC.(1047)";A;09;F;S;P;F;1047;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.53.00.00.00.000;05;0501;74.240,98;0,00;948,49;1.110,67;74.078,80;0,00;"B.Brasil - Inc. Temp. At. Basica - Port. 1280/21 (4500.17)";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.53.00.00.00.000;05;0501;0,00;0,00;421,26;50.982,95;0,00;50.561,69;"B.Brasil - Inc. Temp. At. Basica - Port. 1280/21 (4500.17)";A;08;F;S;P;F;4500;3110;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.54.00.00.00.000;05;0501;18.504,22;0,00;508,22;2.292,40;16.720,04;0,00;"B.Brasil - Saude na Escola (4500.06)-12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.55.00.00.00.000;05;0501;1.404,33;0,00;31.000,66;32.325,46;79,53;0,00;"B.Brasil - Agentes de Saude (4500.02)-12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.58.00.00.00.000;05;0501;1.000,00;0,00;4.019,37;5.019,37;0,00;0,00;"B.Brasil - Vig Sanitaria (4502.02)-12.515-6";A;08;F;S;P;F;4502;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.59.00.00.00.000;05;0501;5.610,64;0,00;5.504,63;1.931,59;9.183,68;0,00;"B.Brasil - Farmacia Basica (4503.01)-12.515-6";A;08;F;S;P;F;4503;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.60.00.00.00.000;05;0501;2.896,46;0,00;11.921,26;11.808,13;3.009,59;0,00;"B.Brasil - Vig. Saude Epidem (4502.01)-12.515-6";A;08;F;S;P;F;4502;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.63.00.00.00.000;05;0501;34.838,12;0,00;9.654,02;18.000,00;26.492,14;0,00;"B.Brasil - MAC (4501)-12.515-6";A;08;F;S;P;F;4501;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.65.00.00.00.000;05;0501;56,00;0,00;1,76;0,00;57,76;0,00;"B.Brasil - Implem. Polit. Rede Cegonha (4500.15)";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.69.00.00.00.000;05;0501;0,00;0,00;652,03;0,00;652,03;0,00;"B.Brasil - Covid-19 - Assist. Farm. Port. 3617/21 (4503.02)";A;08;F;S;P;F;4503;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.69.00.00.00.000;05;0501;0,00;0,00;426,29;0,00;426,29;0,00;"B.Brasil - Covid-19 - Assist. Farm. Port. 3617/21 (4503.02)";A;08;F;S;P;F;4503;3160;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.72.00.00.00.000;05;0501;23.232,94;0,00;8.695,13;4.270,00;27.658,07;0,00;"B.Brasil - Prog. de Informat. das UBS (4500.09) - 12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.74.00.00.00.000;05;0501;5.058,00;0,00;13.016,56;14.365,54;3.709,02;0,00;"B.Brasil - Incentivo Fin. da APS - Desempenho (4500.10) - 12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.76.00.00.00.000;05;0501;5.419,84;0,00;80.669,55;49.609,75;36.479,64;0,00;"B.Brasil - Incentivo Fin. da APS - Capitacao Ponderada (4500.12) - 12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.77.00.00.00.000;04;0402;1.846,39;0,00;8.800,77;7.721,62;2.925,54;0,00;"B.Brasil - PNATE (1041) - 7862-X";A;08;F;S;P;F;1041;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.88.00.00.00.000;05;0501;531,60;0,00;244,20;229,38;546,42;0,00;"B.Brasil - Incentivo p/ Acoes Estrategicas (4500.16) 12.515-6";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.02.89.00.00.00.000;05;0501;22.740,46;0,00;30.381,54;35.880,00;17.242,00;0,00;"B.Brasil - Proteses Dentarias - Acoes Estrat. (4500.18)";A;08;F;S;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.00.00.00.00.000;02;0201;47.208,59;0,00;17.954,21;49.896,06;15.266,74;0,00;"CAIXA ECONOMICA FEDERAL";S;07;F;N;P;F;4500;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.02.00.00.00.000;03;0301;46.907,90;0,00;478,07;0,00;47.385,97;0,00;"CEF - Cont. de Repasse 885143/2019 R. Grafica Rex (1020)";A;08;F;S;P;F;1020;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.02.00.00.00.000;03;0301;0,00;0,00;271,38;32.390,61;0,00;32.119,23;"CEF - Cont. de Repasse 885143/2019 R. Grafica Rex (1020)";A;08;F;S;P;F;1020;3110;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.03.00.00.00.000;03;0301;0,00;0,00;17.200,70;17.200,70;0,00;0,00;"CEF - Cont. de Repasse 885143/2019 R. Grafica Rex (0001)";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.13.00.00.00.000;06;0602;300,69;0,00;1,61;300,69;1,61;0,00;"CEF - Convenio MAPA 901888/2020  - Patr. Agricola (1019)";A;08;F;S;P;F;1019;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.03.13.00.00.00.000;06;0602;0,00;0,00;2,45;4,06;0,00;1,61;"CEF - Convenio MAPA 901888/2020  - Patr. Agricola (1019)";A;08;F;S;P;F;1019;3110;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.12.00.00.00.00.000;02;0201;1.244.182,93;0,00;7.497.042,69;7.856.105,91;885.119,71;0,00;"BANCO DO ESTADO DO RIO GRANDE DO SUL";S;07;F;N;P;F;1019;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.12.01.00.00.00.000;02;0201;104.150,48;0,00;3.968.028,63;3.803.444,11;268.735,00;0,00;"Banrisul C/C 04.009100.0-6";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.12.02.00.00.00.000;02;0201;41.016,92;0,00;504.643,69;530.019,21;15.641,40;0,00;"Banrisul IPVA 04.009101.0-7";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.12.03.00.00.00.000;02;0201;210,74;0,00;536,26;252,24;494,76;0,00;"Banrisul Mul.Trans. 04.009347.0-7(1080)";A;08;F;S;P;F;1080;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.19.12.04.00.00.00.000;04;0402;0,00;0,00;35.639,87;22.406,70;13.233,17;0,00;"Banrisul Transp. Esc. RURAL 04.009532.0-5(1091)";A;08;F;S;P;F;1091;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
